__time,/cosine,/dict/a,/dict/b,/float,/int,/list[0],/list[1],/list[2],/mug/attitude/pitch,/mug/attitude/roll,/mug/attitude/yaw,/mug/position/x,/mug/position/y,/mug/position/z,/mug/setpoint/clamped pitch,/mug/setpoint/clamped roll,/mug/setpoint/yaw,/sine,/ts
1733870883.870387,,,,,,,,,-0.101180750,-0.372471435,0.000442534,-0.015199760,0.003567034,-0.054827605,-4.268208246,-1.159445987,0.025355341,,8.343000000
1733870883.871791,,,,,,,,,-0.098589502,-0.363424479,0.000542394,-0.015421648,0.003700760,-0.053713852,-4.164537762,-1.129752471,0.031076879,,8.345000000
1733870883.873096,,,,,,,,,-0.098589502,-0.363424479,0.000542394,-0.015421648,0.003700760,-0.053713852,-4.164537762,-1.129752471,0.031076879,,8.346000000
1733870883.874403,,,,,,,,,-0.098589502,-0.363424479,0.000542394,-0.015421648,0.003700760,-0.053713852,-4.164537762,-1.129752471,0.031076879,,8.347000000
1733870883.875757,,,,,,,,,-0.102882535,-0.352207460,0.009590866,-0.015691112,0.003900323,-0.052596542,-4.036000199,-1.178947009,0.549516164,,8.349000000
1733870883.877130,,,,,,,,,-0.102882535,-0.352207460,0.009590866,-0.015691112,0.003900323,-0.052596542,-4.036000199,-1.178947009,0.549516164,,8.350000000
1733870883.878483,,,,,,,,,-0.102882535,-0.352207460,0.009590866,-0.015691112,0.003900323,-0.052596542,-4.036000199,-1.178947009,0.549516164,,8.351000000
1733870883.879811,,,,,,,,,-0.102882535,-0.352207460,0.009590866,-0.015691112,0.003900323,-0.052596542,-4.036000199,-1.178947009,0.549516164,,8.353000000
1733870883.881121,,,,,,,,,-0.099957609,-0.342550013,0.004339393,-0.015955084,0.004051604,-0.051344236,-3.925334005,-1.145429829,0.248628909,,8.354000000
1733870883.882430,,,,,,,,,-0.099957609,-0.342550013,0.004339393,-0.015955084,0.004051604,-0.051344236,-3.925334005,-1.145429829,0.248628909,,8.355000000
1733870883.883814,,,,,,,,,-0.099957609,-0.342550013,0.004339393,-0.015955084,0.004051604,-0.051344236,-3.925334005,-1.145429829,0.248628909,,8.357000000
1733870883.885028,,,,,,,,,-0.099957609,-0.342550013,0.004339393,-0.015955084,0.004051604,-0.051344236,-3.925334005,-1.145429829,0.248628909,,8.358000000
1733870883.886343,,,,,,,,,-0.099483120,-0.340547059,0.008503626,-0.016275311,0.004234907,-0.049946275,-3.902381842,-1.139992583,0.487221868,,8.359000000
1733870883.887723,,,,,,,,,-0.099483120,-0.340547059,0.008503626,-0.016275311,0.004234907,-0.049946275,-3.902381842,-1.139992583,0.487221868,,8.361000000
1733870883.888927,,,,,,,,,-0.099483120,-0.340547059,0.008503626,-0.016275311,0.004234907,-0.049946275,-3.902381842,-1.139992583,0.487221868,,8.362000000
1733870883.890270,,,,,,,,,-0.099483120,-0.340547059,0.008503626,-0.016275311,0.004234907,-0.049946275,-3.902381842,-1.139992583,0.487221868,,8.363000000
1733870883.891636,,,,,,,,,-0.100293111,-0.315415269,0.006957795,-0.016542487,0.004418117,-0.048703870,-3.614392738,-1.149274396,0.398652308,,8.365000000
1733870883.893065,,,,,,,,,-0.100293111,-0.315415269,0.006957795,-0.016542487,0.004418117,-0.048703870,-3.614392738,-1.149274396,0.398652308,,8.366000000
1733870883.894422,,,,,,,,,-0.100293111,-0.315415269,0.006957795,-0.016542487,0.004418117,-0.048703870,-3.614392738,-1.149274396,0.398652308,,8.367000000
1733870883.895789,,,,,,,,,-0.098126580,-0.318999182,0.010778420,-0.016892065,0.004418964,-0.047200142,-3.655461358,-1.124447780,0.617557999,,8.369000000
1733870883.897201,,,,,,,,,-0.098126580,-0.318999182,0.010778420,-0.016892065,0.004418964,-0.047200142,-3.655461358,-1.124447780,0.617557999,,8.370000000
1733870883.898537,,,,,,,,,-0.098126580,-0.318999182,0.010778420,-0.016892065,0.004418964,-0.047200142,-3.655461358,-1.124447780,0.617557999,,8.371000000
1733870883.899873,,,,,,,,,-0.098126580,-0.318999182,0.010778420,-0.016892065,0.004418964,-0.047200142,-3.655461358,-1.124447780,0.617557999,,8.373000000
1733870883.901241,,,,,,,,,-0.100813707,-0.294877313,0.013709825,-0.017162226,0.004701184,-0.045687290,-3.379045096,-1.155239989,0.785515135,,8.374000000
1733870883.902590,,,,,,,,,-0.100813707,-0.294877313,0.013709825,-0.017162226,0.004701184,-0.045687290,-3.379045096,-1.155239989,0.785515135,,8.376000000
1733870883.903977,,,,,,,,,-0.100813707,-0.294877313,0.013709825,-0.017162226,0.004701184,-0.045687290,-3.379045096,-1.155239989,0.785515135,,8.377000000
1733870883.905318,,,,,,,,,-0.100813707,-0.294877313,0.013709825,-0.017162226,0.004701184,-0.045687290,-3.379045096,-1.155239989,0.785515135,,8.378000000
1733870883.906805,,,,,,,,,-0.102063074,-0.283055434,0.011125465,-0.017600572,0.004657921,-0.044192037,-3.243576344,-1.169556676,0.637442214,,8.380000000
1733870883.908142,,,,,,,,,-0.102063074,-0.283055434,0.011125465,-0.017600572,0.004657921,-0.044192037,-3.243576344,-1.169556676,0.637442214,,8.381000000
